"";"OBJECTID";"GEMEINDE_ID";"dom_min";"dom_mean";"dom_sd";"dom_max";"n_outliers";"a_total";"a_aspect_N";"a_aspect_NO";"a_aspect_O";"a_aspect_SO";"a_aspect_S";"a_aspect_SW";"a_aspect_W";"a_aspect_NW";"a_flat";"a_inclined";"a_nicht";"a_wenig_2020";"a_wenig_2040";"a_geeignet";"a_gut";"a_sehr_gut";"a_ausgezeichnet";"glo_total";"glo_flat";"glo_inclined";"ertrag_PV";"ertrag_ST"
"1512";2626781;"61760";407,122650146484;409,318984702781;1,20720479821959;413,599487304688;0;118,435323375435;0;7,05457322784612;15,7023698082917;87,295117326333;4,25945073459252;1,05199098194003;1,00665900010468;2,06516229632664;4,03266608621967;114,402657289215;3,14932739347692;7,91433402901692;2,85053513587994;6,37520825659852;18,7761671903199;77,0594372752571;2,31031409488535;134415,630511016;4209,32568170516;130206,304829311;31608,5647714916;47164,3561484197
"1513";2626807;"61760";395,635040283203;398,040533524525;0,927907765377066;399,717529296875;0;95,4809893094455;0;2,04787548299497;0;43,778167084926;1,66003148732085;1,06090106338415;4,73708284870329;42,1969313421162;2,00494438340557;93,4760449260399;0;3,658114727866;0;34,425734957302;6,76233195115882;15,207855733499;35,4269519396197;107095,815891605;2426,79669696246;104669,019194643;25344,2267469328;37820,5363149726
"1514";2626875;"61760";358,661743164062;359,917556036086;0,432201342774947;360,405303955078;0;91,4568547230147;0;10,3661569551662;25,3301492790542;3,00058323184129;1,00024644147512;45,5781988039042;5,07059965369572;1,1109203578779;22,0955357539736;69,3613189690412;0;7,02652234616858;2,58582553221533;11,9853843804036;13,201449599105;55,6013037795684;1,05636908555387;102447,117725041;26084,6961500176;76362,4215750237;24052,7116315255;35889,1540589281
"1515";2626880;"61760";353,832305908203;355,594029688573;0,818628285415173;356,850769042969;0;121,834390874092;0;46,5346145952366;1,00070469362531;2,87903135725582;0;67,5512851043427;3,86875512363192;0;3,00912829443466;118,825262579658;0;23,827482490784;10,0191755945638;11,3038952686878;4,76445241505836;59,8802493207615;12,0391357842368;130215,673095969;3649,40752670429;126566,265569265;30930,3145625185;46158,9622668242
"1516";2626882;"61760";371,929260253906;375,614537839536;1,26228918379997;377,291473388672;0;129,846688907301;0;28,0541772267107;3,14065579240799;10,2958123025014;13,5149315143671;69,3671832741305;5,47392879718349;0;4,0174953801537;125,829193527148;0;3,52220341974416;1,93751187721052;21,2142592658903;13,4477940487344;17,4283185079315;72,2966017877905;157823,600824972;5062,31039398739;152761,290430984;37540,1444490478;56024,2729122517
"1517";2626895;"61760";383,762451171875;383,845442030165;0,0477862279697586;383,915283203125;0;9,01309506848142;0;9,01309506848142;0;0;0;0;0;0;9,01309506848142;0;0;0;0;6,01021192529583;3,00288314318559;0;0;8770,16870042344;8770,16870042344;0;2017,9977486873;3010,17885311027
"1518";2626896;"61760";387,950561523438;389,722243459601;1,1696049358932;392,137817382812;3;26,4386075085772;0;1,00003638296792;0;0;2,0118419294725;22,426678004857;1,00005119127976;0;7,01383727311735;19,4247702354599;0;0;0;0;4,25407427496261;16,3888155432936;5,79571769032101;32541,958094352;8501,11516050893;24040,8429338431;7814,6991811088;11664,1011387122
"1519";2626936;"61760";364,947143554688;365,054843139648;0,0596175361606368;365,163360595703;0;30,0838880494642;0;1,00345379029907;0;0;0;0;3,0339208649763;26,0465133941889;29,0605944446238;1,02329360484044;0;0;0;0;30,0838880494642;0;0;33422,8398256367;32350,1211396825;1072,71868595423;7788,13761181635;11619,4448740035
"1520";2626996;"61760";355,749542236328;358,330763075087;1,20026707113738;360,374298095703;0;121,585630325743;0;46,1185364781402;11,1700047873602;6,14634496665054;19,0021261354662;27,6427991554341;5,43822287631452;6,06759592637733;1,00184050423419;120,583789821509;0;6,6275434184123;1,45870792177556;42,1240288715679;20,1414214068989;27,2459450329079;23,9879836741803;133426,464171734;1191,48891168572;132234,975260048;31766,6360211173;47408,6166890012
"1521";2693291;"61760";400,0595703125;401,912049974714;0,957787901714739;403,314758300781;0;73,8209165432515;0;1,01646557431103;30,4156268377143;0;0;5,66628333404481;35,7175323501144;1,00500844706692;2,01157675235402;71,8093397908974;0;0;0;27,9651716929642;30,94335935715;13,2522864059574;1,66009908717982;77511,5127442299;2445,30124556698;75066,2114986629;18369,8253293879;27413,387573691
